nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0309430,Ana Gasteyer,1967,\N,"actress,soundtrack,producer","tt0377092,tt1232200,tt0207201,tt4366830"
nm0331906,Gilbert Gottfried,1955,\N,"actor,writer,soundtrack","tt0092644,tt0098987,tt0100419,tt0103639"
nm0343444,Mary Gross,1953,\N,"actress,writer,soundtrack","tt0243736,tt0120791,tt0072562,tt0094846"
nm0352778,Bill Hader,1978,\N,"actor,writer,producer","tt3152624,tt1571249,tt2096673,tt7349950"
nm0355357,Brad Hall,1958,\N,"writer,producer,actor","tt0120623,tt0101055,tt6388738,tt2080359"
nm0355358,Brad Hall,1968,\N,"miscellaneous,producer,assistant_director","tt0120399,tt0109830,tt0120829"
nm0355360,Brad Hall,\N,\N,"producer,director,miscellaneous","tt8793210,tt2468756,tt2953706,tt0800142"
nm0356025,Rich Hall,1954,\N,"writer,actor,producer","tt0325939,tt1430607,tt0072562,tt0085065"
nm0358669,Darrell Hammond,1955,\N,"actor,soundtrack,writer","tt0118747,tt0072562,tt0799949,tt0306047"
nm0367005,Phil Hartman,1948,1998,"actor,writer,soundtrack","tt0108174,tt0112095,tt0116705,tt0122718"
nm0393660,Jan Hooks,1957,2014,"actress,soundtrack","tt0103776,tt0089791,tt0115082,tt0106598"
nm0399994,Yvonne Hudson,\N,\N,"actress,miscellaneous","tt0072562,tt0277167"
nm0404525,Melanie Hutsell,\N,\N,"actress,soundtrack","tt2191701,tt4789300,tt1478338,tt0072562"
nm0414130,Victoria Jackson,1959,\N,"actress,soundtrack,writer","tt0098546,tt1394227,tt0099819,tt0094846"
nm0428655,Leslie Jones,\N,\N,"editor,editorial_department","tt0272338,tt1791528,tt0120863,tt1560747"
nm0428656,Leslie Jones,1967,\N,"actress,writer,soundtrack","tt0072562,tt6802400,tt2461150,tt1289401"
nm0428658,Leslie Jones,\N,\N,music_department,tt0116442
nm0428659,Leslie Jones,\N,\N,art_department,"tt0113492,tt0773756,tt0120738,tt0180073"
nm0428660,Leslie Jones,\N,\N,script_department,tt0094643
nm0441592,Chris Kattan,1970,\N,"actor,soundtrack,writer","tt0120770,tt0279493,tt0185371,tt2479478"
nm0443730,Tim Kazurinsky,1950,\N,"actor,writer,miscellaneous","tt0090583,tt0082801,tt0072562,tt0089822"
nm0452716,Laura Kightlinger,1964,\N,"producer,actress,writer","tt0460619,tt0157246,tt4116284,tt8324422"
nm0453115,Taran Killam,1982,\N,"actor,soundtrack,writer","tt2024544,tt0072562,tt4000956,tt5689068"
nm0462712,David Koechner,1962,\N,"actor,writer,soundtrack","tt0427944,tt0357413,tt0425061,tt1229340"
nm0471856,Gary Kroeger,1957,\N,"actor,soundtrack,writer","tt0072562,tt0046593,tt0200525,tt0086765"
nm0491005,Matthew Laurance,1950,\N,"actor,soundtrack","tt0112111,tt0098772,tt0085475,tt0090060"
nm0560257,Gail Matthius,1953,\N,"actress,soundtrack","tt0162796,tt0083530,tt0098929,tt0103373"
nm0571106,Michael McKean,1947,\N,"actor,soundtrack,director","tt0088258,tt0088930,tt0310281,tt3032476"
nm0571897,Mark McKinney,1959,\N,"actor,writer,producer","tt0120770,tt0096626,tt0387779,tt1159996"
nm0571898,Mark McKinney,\N,\N,camera_department,"tt1731701,tt1212450,tt0107927,tt0277370"
nm0571952,Kate McKinnon,1984,\N,"actress,soundtrack,writer","tt6394270,tt4799050,tt1289401,tt0072562"
nm0582418,Laurie Metcalf,1955,\N,"actress,soundtrack,miscellaneous","tt0120082,tt0094540,tt4925292,tt0114709"
nm0588222,Dennis Miller,1953,\N,"writer,producer,actor","tt0113957,tt0117826,tt0119731,tt0245686"
nm0588223,Dennis Miller,1937,\N,actor,"tt0135848,tt0385463,tt0108709,tt0081561"
nm0588224,Dennis Miller,\N,\N,"cinematographer,camera_department,director","tt0081563,tt0226416,tt0072792,tt0279429"
nm0591576,Jerry Minor,1969,\N,"actor,writer,soundtrack","tt0323633,tt0357413,tt0817538,tt2463288"
nm0605078,Tracy Morgan,1943,\N,"actress,writer","tt0074621,tt0074377,tt0069098,tt0068892"
nm0605079,Tracy Morgan,1968,\N,"actor,producer,soundtrack","tt1385867,tt0496424,tt0426592,tt0787474"
nm0606541,Garrett Morris,1937,\N,"actor,soundtrack,writer","tt0278488,tt0106598,tt0478970,tt0072562"
nm0614853,Bill Murray,\N,\N,miscellaneous,tt0097132
nm0628170,Laraine Newman,1952,\N,"actress,soundtrack,miscellaneous","tt0120669,tt0106598,tt0116705,tt0102719"
nm0637038,Don Novello,1943,\N,"actor,writer,producer","tt0230011,tt0072562,tt0112642,tt0099674"
nm0639733,Mike O'Brien,\N,\N,"sound_department,composer","tt0127341,tt0340434,tt0159876,tt0153362"
nm0639734,Mike O'Brien,\N,\N,"camera_department,actor,art_department","tt0117652,tt0094834,tt0109021,tt0110939"
nm0639735,Mike O'Brien,1964,2015,actor,"tt1159996,tt2347497,tt1095174,tt0433400"
nm0640874,Michael O'Donoghue,1940,1994,"writer,actor,miscellaneous","tt0079583,tt0079522,tt0072562,tt0096061"
nm0652783,Cheri Oteri,1962,\N,"actress,writer,producer","tt0175142,tt0141369,tt0405336,tt0119528"
nm0663177,Chris Parnell,1967,\N,"actor,soundtrack,writer","tt0841046,tt1232829,tt0357413,tt2861424"
nm0685472,Joe Piscopo,1951,\N,"actor,writer,soundtrack","tt0072562,tt0087507,tt0092226,tt0094961"
nm0688132,Amy Poehler,1971,\N,"actress,producer,writer","tt0871426,tt0072562,tt1266020,tt2096673"
nm0695104,Emily Prager,1948,\N,"actress,writer,camera_department","tt0059992,tt0079583,tt0094674,tt0048860"
nm0703800,Colin Quinn,1959,\N,"writer,actor,producer","tt0120770,tt3314416,tt3152624,tt1375670"
nm0705717,Gilda Radner,1946,1989,"actress,soundtrack,writer","tt0084049,tt0091178,tt0070290,tt0072562"
nm0711014,Tony Rosato,1954,2017,"actor,writer","tt0207701,tt0075578,tt0088582,tt0117593"
nm0724143,Jeff Richards,1924,1989,"actor,soundtrack","tt0049578,tt0047472,tt0052932,tt0050327"
nm0724144,Jeff Richards,\N,\N,"animation_department,art_department","tt0094449,tt0120800,tt0104254,tt0111333"
nm0724145,Jeff Richards,1974,\N,"actor,writer,producer","tt0759475,tt0468999,tt4687632,tt0072562"
nm0724146,Jeff Richards,\N,\N,actor,"tt0087348,tt0076781,tt0090631,tt0162349"
nm0728315,Ann Risley,1949,\N,actress,"tt0082525,tt0072562,tt0081554,tt0081518"
nm0733146,Tim Robinson,\N,\N,art_department,"tt0834001,tt0443334,tt0088591,tt4698684"
nm0733427,Harry Shearer,1943,\N,"actor,writer,soundtrack","tt0096697,tt0120382,tt0310281,tt0088258"
nm0734153,Chris Rock,\N,\N,actor,"tt9372772,tt0142646,tt0284126,tt0286159"
nm0734236,Charles Rocket,1949,2005,"actor,soundtrack","tt0099348,tt0108122,tt0120913,tt0109686"
nm0748973,Maya Rudolph,1972,\N,"actress,soundtrack,producer","tt1478338,tt1727388,tt1176740,tt1791528"
nm0764445,Horatio Sanz,1969,\N,"actor,soundtrack,writer","tt0215129,tt1920849,tt1045778,tt0285462"
nm0771680,Tom Schiller,1949,\N,"writer,actor,director","tt0088790,tt0304046,tt0072562,tt0087817"
nm0787238,Paul Shaffer,1949,\N,"music_department,soundtrack,actor","tt0119282,tt0088258,tt0118747,tt4537842"
nm0788340,Molly Shannon,1964,\N,"actress,soundtrack,writer","tt4158876,tt0167427,tt0151738,tt0362120"
nm0798971,Sarah Silverman,1970,\N,"actress,producer,writer","tt1772341,tt0332379,tt0821375,tt5848272"
nm0806912,Robert Smigel,1960,\N,"writer,producer,actor","tt0185431,tt0272338,tt0106052,tt0072562"
nm0827298,Pamela Stephenson,1949,\N,"actress,soundtrack,writer","tt0080253,tt0082517,tt0199218,tt0086393"
nm0837177,Jason Sudeikis,1975,\N,"actor,soundtrack,writer","tt10986410,tt4680182,tt1499658,tt1723121"
nm0842140,Julia Sweeney,1959,\N,"actress,producer,writer","tt0498994,tt8962130,tt2467372,tt10417836"
nm0842202,Terry Sweeney,1950,\N,"writer,actor,miscellaneous","tt0093443,tt0240596,tt0098300,tt0342139"
nm0860380,Kenan Thompson,1978,\N,"actor,soundtrack,producer","tt0115231,tt0417148,tt0119215,tt0072562"
nm0888503,Danitra Vance,1954,1994,"actress,soundtrack","tt0102174,tt0102316,tt0098621,tt0086759"
nm0899865,Dan Vitale,\N,\N,actor,"tt1744760,tt0072562,tt0086768,tt0088804"
nm0915778,Patrick Weathers,1954,\N,"actor,music_department","tt1741243,tt0094291,tt1790886,tt1996346"
nm0933146,Casey Wilson,\N,\N,visual_effects,"tt0102034,tt0107415,tt0120611,tt0274164"
nm0937747,Fred Wolf,1932,\N,"producer,writer,miscellaneous","tt0061421,tt0092345,tt0067595,tt0131613"
nm0937748,Fred Wolf,1964,\N,"writer,actor,director","tt0120654,tt0185431,tt0115697,tt2191701"
nm0937750,Fred Wolf,1910,2000,actor,"tt0154574,tt2157952"
nm0958993,Alan Zweibel,1950,\N,"writer,producer,actor","tt0072562,tt0092925,tt0090459,tt0110687"
nm0971596,Chris Elliott,\N,\N,"composer,music_department,editor","tt1167638,tt0120662,tt0203009,tt0118661"
nm1008747,Rich Hall,\N,\N,writer,tt0861361
nm10124289,Jeff Richards,\N,\N,miscellaneous,tt0076598
nm10179693,Tom Davis,\N,\N,nan,tt8948614
nm10184827,Mike O'Brien,\N,\N,nan,tt3562462
nm10230310,Colin Quinn,\N,\N,cinematographer,tt8819940
nm1024878,Seth Meyers,1973,\N,"writer,actor,producer","tt3513388,tt4677934,tt1598822,tt0072562"
nm10254000,Pete Davidson,\N,\N,producer,\N
nm10271496,Chris Elliott,\N,\N,nan,\N
nm1027256,Chris Parnell,\N,\N,actor,tt0265736
nm1034017,Dean Edwards,\N,\N,actor,"tt1165357,tt0258476,tt1111291,tt0450852"
nm10343807,Bill Murray,\N,\N,actor,"tt6384192,tt13998382"
nm10365967,Tom Davis,\N,\N,nan,\N
nm10417023,Tom Davis,\N,\N,actor,tt9639868
nm10437112,Dean Edwards,\N,\N,nan,tt3644198
nm10440389,Chris Rock,\N,\N,actor,\N
nm10452456,Mark McKinney,\N,\N,nan,\N
nm10455749,Mike O'Brien,\N,\N,editor,"tt9734382,tt9883024"
nm10455801,Leslie Jones,\N,\N,assistant_director,tt0123965
nm1047319,Tom Davis,\N,\N,actor,tt0295476
nm1047581,Brad Hall,\N,\N,miscellaneous,tt0294941
nm10513107,Lauren Holt,\N,\N,camera_department,\N
nm10521259,Tom Davis,\N,\N,nan,\N
nm10614185,Tom Davis,\N,\N,nan,\N
nm10639792,Tim Robinson,\N,\N,nan,\N
nm10661678,Eddie Murphy,\N,\N,nan,\N
nm10666508,Tim Robinson,\N,\N,actor,\N
nm10697087,Mike O'Brien,\N,\N,nan,\N
nm10765303,Tom Davis,\N,\N,actor,\N
nm10793005,Mike O'Brien,\N,\N,actor,\N
nm1083889,Mike O'Brien,\N,\N,"miscellaneous,producer,director","tt7498020,tt1448500,tt1716744,tt0217061"
nm10871329,Victoria Jackson,\N,\N,actress,\N
nm10879663,Terry Sweeney,\N,\N,actor,\N
nm10937994,Tim Meadows,\N,\N,nan,"tt14016930,tt13743066,tt10863916,tt10740136"
nm11060621,Tom Davis,\N,\N,"composer,sound_department",tt12649418
nm11079865,Tom Davis,\N,\N,miscellaneous,\N
nm11155585,Dennis Miller,\N,\N,actor,tt10974848
nm11162204,Mike O'Brien,\N,\N,"writer,producer",tt11348726
nm11185833,Tom Davis,\N,\N,composer,tt11137268
nm11217821,Casey Wilson,\N,\N,"camera_department,production_manager,script_department",tt11475900
nm11222962,Will Ferrell,\N,\N,producer,tt11462908
nm11270045,Mike O'Brien,\N,\N,nan,tt11599804
nm11279790,Mike O'Brien,\N,\N,sound_department,tt11394180
nm11291807,Chris Farley,\N,\N,stunts,tt1972591
nm11297717,Tom Davis,\N,\N,actor,\N
nm11322159,Fred Wolf,\N,\N,nan,\N
nm11331059,Chris Elliott,\N,\N,special_effects,\N
nm11436906,Michael O'Donoghue,\N,\N,visual_effects,tt12003714
nm1143861,Michaela Watkins,1971,\N,"actress,writer,producer","tt2294677,tt1212436,tt1932718,tt1655460"
nm11486610,Tom Davis,\N,\N,nan,tt1020913
nm1154288,Jeff Richards,\N,\N,actor,tt0116783
nm11555653,Jerry Minor,\N,\N,nan,tt0401003
nm11573043,Dan Vitale,\N,\N,nan,\N
nm11610626,Leslie Jones,\N,\N,actress,\N
nm1162741,Bill Murray,\N,\N,camera_department,"tt0288154,tt0189500"
nm11707153,Jeff Richards,\N,\N,nan,tt11011652
nm11718692,Mike O'Brien,\N,\N,set_decorator,tt12661304
nm11728273,Heidi Gardner,\N,\N,actress,\N
nm11765333,Casey Wilson,\N,\N,nan,\N
nm11768616,Mike O'Brien,\N,\N,actor,tt3783812
nm11775788,Martin Short,\N,\N,nan,tt12800308
nm11885823,Tom Davis,\N,\N,actor,tt5295032
nm11936425,Victoria Jackson,\N,\N,actress,\N
nm11950689,Dennis Miller,\N,\N,nan,\N
nm11950691,Victoria Jackson,\N,\N,nan,\N
nm11971632,Mike O'Brien,\N,\N,actor,\N
nm11972013,Tim Robinson,\N,\N,set_decorator,tt10505762
nm11992562,Sarah Sherman,\N,\N,director,\N
nm1201491,Dennis Miller,\N,\N,casting_director,tt0325502
nm12033473,Mike O'Brien,\N,\N,actor,tt14643040
nm1219950,Eddie Murphy,\N,\N,art_department,"tt2379713,tt0830515,tt10539608,tt2802144"
nm12244326,Tom Davis,\N,\N,cinematographer,\N
nm12246661,Chris Elliott,\N,\N,camera_department,tt13026762
nm12251094,Brad Hall,\N,\N,nan,tt1442550
nm12286233,Leslie Jones,\N,\N,script_department,\N
nm12293622,Dean Edwards,\N,\N,actor,\N
nm12383124,Tom Davis,\N,\N,nan,"tt0262152,tt13471320"
nm12400603,Dan Vitale,\N,\N,actor,tt14236360
nm12406972,Victoria Jackson,\N,\N,nan,\N
nm12488967,Tim Meadows,\N,\N,actor,tt11394158
nm12577961,Mike O'Brien,\N,\N,actor,tt14643040
nm12624642,Tom Davis,\N,\N,nan,tt13682176
nm12695477,Rob Schneider,\N,\N,producer,tt4829936
nm12705773,Victoria Jackson,\N,\N,actress,tt6932494
nm12744425,Victoria Jackson,\N,\N,miscellaneous,tt14855722
nm12748185,Tom Davis,\N,\N,nan,\N
nm12750797,Mike Myers,\N,\N,nan,\N
nm12750908,Tom Davis,\N,\N,actor,tt0124718
nm12785038,Victoria Jackson,\N,\N,nan,\N
nm12785675,Jimmy Fallon,\N,\N,art_department,tt6133466
nm12815517,Victoria Jackson,\N,\N,producer,tt14894996
nm1282073,Leslie Jones,\N,\N,nan,tt0341708
nm12840270,Chris Farley,\N,\N,"cinematographer,camera_department,editor","tt14779558,tt16589596"
nm12851138,Colin Quinn,\N,\N,nan,\N
nm12890222,Christopher Guest,\N,\N,nan,\N
nm12931864,Bill Murray,\N,\N,nan,\N
nm1293885,Bobby Moynihan,1977,\N,"actor,soundtrack,writer","tt0072562,tt10662034,tt13622982"
nm12980144,Leslie Jones,\N,\N,art_department,tt8579674
nm12981476,Casey Wilson,\N,\N,sound_department,tt15488832
nm13013859,Michael O'Donoghue,\N,\N,sound_department,\N
nm13032378,Mike O'Brien,\N,\N,music_department,tt15669416
nm13042925,Mike Myers,\N,\N,camera_department,tt15714650
nm13153060,Eddie Murphy,\N,\N,"actor,miscellaneous",\N
