nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm2529548,Dean Edwards,\N,\N,nan,"tt12058768,tt0298674,tt13645690,tt14773254"
nm2544987,Mike Myers,\N,\N,camera_department,tt0115279
nm2572052,Tom Davis,\N,\N,camera_department,"tt6306064,tt0095408"
nm2597086,Mike O'Brien,\N,\N,actor,"tt0470023,tt0464041,tt1107855,tt0457433"
nm2605900,Chris Elliott,\N,\N,"cinematographer,camera_department","tt1242542,tt3765728"
nm2610385,Sarah Sherman,\N,\N,"actress,director,writer","tt3773358,tt9170758,tt1006983,tt14945492"
nm2620120,Tom Davis,\N,\N,"transportation_department,miscellaneous","tt0457572,tt1272878,tt0765010,tt0452625"
nm2641016,Mike O'Brien,\N,\N,editor,tt0949671
nm2642562,Lauren Holt,\N,\N,"animation_department,editorial_department,miscellaneous","tt3449322,tt0815250,tt1022605"
nm2660474,Dennis Miller,\N,\N,miscellaneous,"tt0416779,tt0846694"
nm2672552,Tom Davis,\N,\N,visual_effects,tt0349903
nm2675038,Rob Schneider,\N,\N,actor,tt1039621
nm2682875,Fred Wolf,\N,\N,actor,tt1032874
nm2720332,Alex Moffat,\N,\N,actor,"tt0112230,tt0111999"
nm2722633,Dennis Miller,\N,\N,"animation_department,art_department","tt8651594,tt0874300,tt3529198,tt1751105"
nm2761469,Chris Parnell,\N,\N,nan,"tt0343316,tt1020109"
nm2767460,Michael O'Donoghue,\N,\N,transportation_department,tt0099566
nm2776607,Aristotle Athari,\N,\N,"actor,director,cinematographer","tt9173436,tt5918784,tt7322648,tt5917146"
nm2790436,Tim Robinson,\N,\N,"writer,producer,actor","tt2421910,tt1112661"
nm2809577,Jenny Slate,1982,\N,"actress,writer,soundtrack","tt4481414,tt2910274,tt2709768,tt2948356"
nm2825937,Tom Davis,\N,\N,nan,"tt1136478,tt2787132"
nm2846691,Fred Wolf,\N,\N,nan,\N
nm2846739,Mike O'Brien,\N,\N,"miscellaneous,camera_department","tt2719804,tt1357005,tt1100051"
nm2870034,Tom Davis,\N,\N,actor,tt0106137
nm2881085,Tom Davis,\N,\N,location_management,tt0086192
nm2945828,Michael O'Donoghue,\N,\N,camera_department,"tt0115355,tt0120801,tt0133302,tt1626811"
nm2966932,Bill Murray,\N,\N,"editor,editorial_department","tt1210095,tt1732762"
nm2968461,Brad Hall,\N,\N,"producer,camera_department","tt0400410,tt0939564"
nm2997086,Martin Short,\N,\N,actor,tt0079687
nm3009952,Kate McKinnon,\N,\N,actress,tt0092225
nm3025851,Mike O'Brien,\N,\N,actor,tt0051297
nm3054255,Tom Davis,\N,\N,actor,tt1250756
nm3076354,Mike O'Brien,\N,\N,transportation_department,"tt4229954,tt0494864,tt0775529"
nm3080722,Beck Bennett,\N,\N,"actor,writer,producer","tt3470600,tt5531466,tt7979580,tt1086064"
nm3085792,Leslie Jones,\N,\N,actor,tt0031055
nm3089340,Mike O'Brien,\N,\N,actor,"tt2182211,tt1366945,tt0313038,tt1107855"
nm3174251,Jeff Richards,\N,\N,cinematographer,tt0393274
nm3174274,Mike O'Brien,\N,\N,"producer,miscellaneous","tt1584933,tt0368107,tt0401759,tt9248866"
nm3199973,Mike O'Brien,\N,\N,actor,tt1326172
nm3213154,Chris Rock,\N,\N,animation_department,tt0174392
nm3291792,Mike Myers,\N,\N,camera_department,tt1362049
nm3324982,Kyle Mooney,1984,\N,"actor,writer,soundtrack","tt1608290,tt2139555,tt15977708,tt5805752"
nm3364779,Vanessa Bayer,1981,\N,"actress,writer,soundtrack","tt2989524,tt1711525,tt3152624,tt0072562"
nm3448959,Leslie Jones,\N,\N,actress,tt1279966
nm3483071,Tom Davis,\N,\N,camera_department,tt0128707
nm3510834,Tim Robinson,\N,\N,"camera_department,director,actor","tt1462862,tt1507979,tt1462856"
nm3550886,Sasheer Zamata,1986,\N,"actress,writer,producer","tt4018066,tt6791096,tt4018068,tt11394332"
nm3578809,Bill Murray,\N,\N,producer,tt1490534
nm3600806,Jeff Richards,\N,\N,actor,"tt1587314,tt1505388"
nm3625945,Mike O'Brien,\N,\N,actor,tt1493558
nm3644706,Noël Wells,1986,\N,"actress,editor,miscellaneous","tt6212496,tt7713450,tt0072562,tt9184820"
nm3673242,Bill Murray,1908,1986,nan,"tt1687207,tt1538443,tt1600694"
nm3677317,Jeff Richards,\N,\N,miscellaneous,tt0072265
nm3678497,Rich Hall,\N,\N,"director,writer",tt1542770
nm3697626,Chris Elliott,\N,\N,"writer,composer,music_department",tt1551638
nm3710139,Tom Davis,\N,\N,miscellaneous,tt1517228
nm3743306,Casey Wilson,\N,\N,"actor,producer,director","tt2382015,tt1982864,tt2265215,tt1565981"
nm3758883,Leslie Jones,\N,\N,"director,producer",tt1575557
nm3760937,Luke Null,\N,\N,actor,"tt9881938,tt3146066,tt1545490,tt0072562"
nm3830257,Melissa Villaseñor,1987,\N,"actress,soundtrack,writer","tt5848272,tt1809001,tt10682266,tt0072562"
nm3846408,Michael Che,\N,\N,"writer,actor,camera_department","tt0072562,tt12762460,tt2784678,tt0499556"
nm3890281,Bill Murray,\N,\N,nan,\N
nm3895112,Tom Davis,\N,\N,art_department,tt1326139
nm3910307,Jeff Richards,\N,\N,actor,tt0380060
nm3911007,Chris Rock,\N,\N,actor,tt1556078
nm3915439,Mike O'Brien,\N,\N,miscellaneous,tt1193138
nm3920709,Casey Wilson,\N,\N,"camera_department,cinematographer,director","tt6083648,tt6091368,tt9748306,tt2445666"
nm3930873,Tim Robinson,\N,\N,"cinematographer,camera_department,editor","tt4504130,tt0389911,tt4502270,tt1663232"
nm3933527,Tim Robinson,\N,\N,camera_department,tt1664843
nm3941693,Dennis Miller,\N,\N,transportation_department,tt0829176
nm3950870,Chris Elliott,\N,\N,nan,\N
nm3981127,Casey Wilson,\N,\N,camera_department,tt1687906
nm3982894,Jay Pharoah,1987,\N,"actor,soundtrack,producer","tt7153766,tt1408253,tt5774044,tt0072562"
nm3997014,Michael O'Donoghue,\N,\N,sound_department,"tt2790152,tt2798906,tt2790032"
nm4013649,Mike Myers,\N,\N,nan,tt0096563
nm4028688,Mike Myers,\N,\N,writer,tt1708468
nm4039470,Tim Robinson,\N,\N,nan,\N
nm4100863,Emily Prager,\N,\N,nan,\N
nm4104448,Sarah Sherman,\N,\N,make_up_department,tt1518327
nm4142075,Chris Elliott,\N,\N,nan,tt0262152
nm4180892,Tim Robinson,\N,\N,actor,tt1777032
nm4200503,Tim Robinson,\N,\N,"writer,actor,producer","tt0072562,tt10050772,tt4779762,tt6343706"
nm4204968,Paul Brittain,1977,\N,"actor,soundtrack","tt2510894,tt2176287,tt0837562,tt0072562"
nm4215887,Martin Short,1943,2020,"writer,producer,miscellaneous","tt1791798,tt0938980,tt1297329,tt5747320"
nm4256972,Chris Elliott,\N,\N,actor,"tt1813516,tt1493151"
nm4257796,Bill Murray,\N,\N,actor,tt1810727
nm4269084,Tom Davis,\N,\N,"actor,writer,producer","tt4468740,tt4158096,tt8096690,tt4673856"
nm4289813,Bill Murray,\N,\N,nan,tt1740656
nm4310690,Bill Murray,\N,\N,"sound_department,art_department,camera_department","tt1837678,tt2147467"
nm4326982,Eddie Murphy,\N,\N,animation_department,tt0492509
nm4339544,Jon Rudnitsky,\N,\N,"actor,writer,soundtrack","tt0072562,tt5719700"
nm4343157,Tom Davis,1945,\N,actor,tt1850339
nm4359305,Tim Robinson,\N,\N,camera_department,tt1857742
nm4380769,Mike Myers,\N,\N,special_effects,"tt1219289,tt5657856,tt1817273,tt6133466"
nm4408208,Mike O'Brien,\N,\N,actor,tt1885305
nm4435047,Bill Murray,\N,\N,actor,"tt1911645,tt2450652,tt2282941"
nm4473273,Mike O'Brien,\N,\N,actor,tt1434435
nm4481414,Bill Murray,\N,\N,actor,tt1884251
nm4489897,Casey Wilson,\N,\N,actress,tt1951191
nm4520392,Bill Murray,\N,\N,"cinematographer,camera_department",tt1972582
nm4536114,Casey Wilson,\N,\N,editor,tt1982864
nm4539981,Mike Myers,\N,\N,costume_department,tt1984991
nm4562498,James Austin Johnson,\N,\N,"actor,writer,miscellaneous","tt8036272,tt0072562,tt3032476,tt0475290"
nm4573109,Tracy Morgan,\N,\N,nan,\N
nm4583865,Sarah Sherman,\N,\N,actress,tt1999871
nm4592210,Yvonne Hudson,\N,\N,"miscellaneous,actress,casting_director","tt2142935,tt2033480,tt3526474,tt2156935"
nm4603998,Mike O'Brien,\N,\N,nan,\N
nm4633705,Tracy Morgan,\N,\N,transportation_department,tt1887882
nm4657360,Mike O'Brien,\N,\N,actor,tt2043951
nm4658374,Mike Myers,\N,\N,special_effects,tt2004334
nm4702231,Tom Davis,\N,\N,transportation_department,tt0321473
nm4800774,Mike O'Brien,\N,\N,nan,tt1170243
nm4806887,Chloe Fineman,1988,\N,"actress,location_management","tt8577458,tt5460226,tt6527474,tt0072562"
nm4826405,Bill Murray,\N,\N,art_department,tt2147467
nm4828992,Tracy Morgan,\N,\N,nan,\N
nm4832730,Tom Davis,1967,\N,miscellaneous,"tt2288153,tt0081857,tt0189246,tt2161907"
nm4857388,Dennis Miller,\N,\N,nan,\N
nm4895587,Rich Hall,\N,\N,nan,tt0146386
nm4906505,Mike O'Brien,\N,\N,actor,tt2247021
nm4926467,Bill Murray,\N,\N,actor,tt2202391
nm4929014,Tim Robinson,\N,\N,nan,tt2275949
nm4930586,Chris Farley,\N,\N,writer,tt2275913
nm4945455,Ego Nwodim,\N,\N,"actress,soundtrack,costume_department","tt3598030,tt6110318,tt0072562,tt7379494"
nm4949478,Mike O'Brien,\N,\N,actor,tt2300919
nm4977915,Leslie Jones,\N,\N,miscellaneous,tt0104423
nm4997878,Yvonne Hudson,\N,\N,nan,tt2355949
nm5073476,Tracy Morgan,\N,\N,nan,tt0063892
nm5120390,Brooks Wheelan,1986,\N,"actor,writer,producer","tt10050772,tt1600194,tt5244974,tt0072562"
nm5122180,Terry Sweeney,\N,\N,"actor,soundtrack","tt3517306,tt3313760,tt2386353,tt2576688"
nm5127148,Kyle Mooney,\N,\N,nan,\N
nm5139377,Bill Murray,\N,\N,sound_department,tt2243836
nm5163268,Dennis Miller,\N,\N,nan,tt1275472
nm5198446,Cecily Strong,1984,\N,"actress,soundtrack,producer","tt2702724,tt1289401,tt11808942,tt0072562"
nm5206346,Chris Farley,\N,\N,actor,tt2328612
nm5230632,Bill Murray,\N,\N,sound_department,tt2356940
nm5255287,Jeff Richards,\N,\N,casting_department,"tt3218622,tt5648234,tt11940818,tt2378652"
nm5262775,Aidy Bryant,1987,\N,"actress,writer,soundtrack","tt11092142,tt8962130,tt5462602,tt0072562"
nm5268180,Leslie Jones,\N,\N,"costume_department,actress","tt0297607,tt0358809,tt0360255,tt4568496"
nm5296555,Terry Sweeney,\N,\N,nan,\N
nm5298712,Mike O'Brien,\N,\N,nan,\N
nm5311105,Mike O'Brien,\N,\N,"actor,producer",tt2423776
nm5358702,Chris Elliott,\N,\N,nan,\N
nm5368653,Tom Schiller,\N,\N,actor,tt9068272
nm5374987,Leslie Jones,\N,\N,actress,tt1957867
nm5381865,Terry Sweeney,\N,\N,actor,tt2474812
nm5398255,Rich Hall,\N,\N,art_department,tt1650554
nm5412083,Chris Redd,\N,\N,"actor,writer,soundtrack","tt0072562,tt3960412,tt5884792,tt7286456"
nm5415866,Phil Hartman,\N,\N,nan,\N
nm5428992,Tim Robinson,1935,2020,writer,tt2582038
nm5460097,Mike O'Brien,\N,\N,actor,tt2625536
nm5462850,Rich Hall,\N,\N,camera_department,tt2369573
nm5465769,Seth Meyers,\N,\N,nan,tt0124932
nm5479432,Tim Robinson,\N,\N,nan,\N
nm5500570,Jeff Richards,\N,\N,actor,tt2671586
nm5518479,Victoria Jackson,\N,\N,nan,tt2307673
nm5539698,Tom Davis,\N,\N,nan,tt2728770
nm5575320,Mike Myers,\N,\N,art_department,tt0299712
nm5601269,Leslie Jones,\N,\N,nan,tt2803888
nm5602633,Sarah Sherman,\N,\N,actress,tt2803096
nm5609314,Sarah Sherman,\N,\N,"producer,actress",tt2261238
nm5628268,Tom Davis,\N,\N,"producer,writer","tt2828570,tt5774598,tt3503754,tt4742812"
nm5629957,Bill Murray,\N,\N,nan,\N
nm5633884,Dennis Miller,\N,\N,nan,\N
nm5642597,Mike O'Brien,\N,\N,nan,\N
nm5643945,Dennis Miller,\N,\N,producer,tt2866916
nm5648732,Brad Hall,\N,\N,actor,tt0122827
nm5659941,Dennis Miller,\N,\N,nan,tt0123338
nm5666584,Mike O'Brien,\N,\N,sound_department,"tt3972208,tt3856408,tt1535977"
nm5692847,Leslie Jones,\N,\N,nan,\N
nm5695760,Mike Myers,\N,\N,art_director,tt2916548
nm5706361,Mark McKinney,\N,\N,cinematographer,tt2954994
nm5708457,Brad Hall,\N,\N,"director,producer",tt2953902
nm5770787,Tim Robinson,\N,\N,"actor,producer,writer","tt7525638,tt2826134,tt6227116,tt7525600"
nm5803981,Alex Moffat,1982,\N,"actor,director","tt1217217,tt5848272,tt9866072,tt3219194"
nm5838946,Tracy Morgan,\N,\N,miscellaneous,tt0100332
nm5848694,Chris Rock,\N,\N,producer,tt2357748
nm5872054,Bill Murray,\N,\N,nan,\N
nm5894755,Bill Murray,\N,\N,actor,tt3091734
nm5905712,Bill Murray,\N,\N,actor,tt3147486
nm5906920,Heidi Gardner,1983,\N,"actress,writer","tt5101204,tt5619332,tt10324166,tt4180560"
nm5907222,Tom Davis,\N,\N,nan,tt0133302
nm5922353,Brad Hall,\N,\N,"director,actor,writer",tt3162968
nm5946351,Mike Myers,\N,\N,composer,tt3185956
nm5960919,Molly Shannon,\N,\N,actress,tt0362542
nm5977544,Alex Moffat,\N,\N,nan,\N
nm5987491,Bill Murray,\N,\N,actor,tt3231836
nm6036494,Jim Downey,\N,\N,producer,tt3281976
nm6133039,Christopher Guest,\N,\N,actor,tt3384430
nm6151446,Chris Parnell,\N,\N,cinematographer,tt3402362
nm6158455,Tom Davis,\N,\N,animation_department,"tt4633694,tt5220122,tt2510894,tt4624424"
nm6255561,Chris Elliott,\N,\N,actor,tt3449744
nm6267657,Tom Davis,\N,\N,actor,tt3512322
nm6283130,Dennis Miller,\N,\N,miscellaneous,tt3458560
nm6286141,Jeff Richards,\N,\N,nan,\N
nm6291555,Mark McKinney,\N,\N,transportation_department,tt1179069
nm6299248,Bowen Yang,1990,\N,"actor,writer,producer","tt2587452,tt2452244,tt6078096"
nm6299629,Victoria Jackson,\N,\N,actress,tt3172618
nm6310930,Tim Robinson,\N,\N,"producer,director,camera_department","tt0199257,tt14435296,tt8909538,tt8909686"
nm6344885,Bill Murray,\N,\N,editor,tt0115367
nm6350126,Chris Parnell,\N,\N,executive,\N
nm6365877,Bill Murray,\N,\N,director,tt3603706
nm6366128,Sarah Sherman,\N,\N,"producer,production_manager,miscellaneous","tt2630898,tt4575056,tt3562626,tt3548962"
nm6375565,Michael O'Donoghue,\N,\N,actor,tt0084264
nm6407619,Lauren Holt,\N,\N,art_department,tt3597448
nm6481103,Jeff Richards,\N,\N,actor,tt3650844
nm6557993,Tom Davis,\N,\N,actor,tt3793204
nm6566424,Leslie Jones,\N,\N,actor,"tt4056158,tt3800692"
nm6580781,Sarah Sherman,\N,\N,actor,tt3815734
nm6588479,Kyle Mooney,\N,\N,"special_effects,visual_effects",tt3823130
nm6638078,Jeff Richards,\N,\N,composer,tt3872944
nm6695372,Bill Murray,\N,\N,nan,\N
nm6729562,Casey Wilson,\N,\N,editorial_department,tt3263490
nm6758873,Tom Davis,\N,\N,art_department,tt3970482
nm6880758,Sarah Sherman,\N,\N,nan,\N
nm6888296,Chris Elliott,\N,\N,actor,tt8386350
nm6908017,Bill Murray,\N,\N,actor,tt3790306
nm6934104,Tim Robinson,\N,\N,nan,\N
nm7041822,Sarah Sherman,\N,\N,nan,\N
nm7043228,Rich Hall,\N,\N,nan,\N
nm7096883,Will Ferrell,\N,\N,art_department,"tt0058797,tt0061296,tt0062994,tt0061240"
nm7109497,Chris Elliott,\N,\N,actor,tt4203440
nm7147777,Mike O'Brien,\N,\N,actor,tt4475006
nm7171988,Alex Moffat,\N,\N,"assistant_director,miscellaneous","tt5628302,tt5104604,tt3381008,tt2652092"
nm7205497,Tim Robinson,\N,\N,nan,tt4049528
nm7234377,Bill Murray,\N,\N,writer,tt4571940
nm7250185,Jeff Richards,\N,\N,nan,tt3696804
nm7286360,Christopher Guest,\N,\N,actor,"tt4334642,tt1024855"
nm7296040,Rob Schneider,\N,\N,miscellaneous,tt4432798
nm7301044,Dan Vitale,\N,\N,"director,writer,producer","tt4656450,tt5903450"
nm7307139,Phil Hartman,\N,\N,actor,tt4662448
nm7314528,Mike Myers,\N,\N,actor,tt4670472
nm7324531,Heidi Gardner,\N,\N,nan,\N
nm7341228,Mike Myers,\N,\N,actor,tt4497152
nm7390947,Dean Edwards,\N,\N,actor,tt0122905
nm7397944,Jeff Richards,\N,\N,production_designer,tt4780202
nm7414652,Brad Hall,\N,\N,nan,tt1554356
nm7427133,Mark McKinney,\N,\N,nan,tt6225166
nm7427142,Mark McKinney,\N,\N,editor,"tt4823678,tt5441646"
nm7429938,Phil Hartman,\N,\N,actor,tt4828104
nm7440291,Fred Wolf,\N,\N,actor,"tt0072562,tt10222674,tt3910602"
nm7451606,Phil Hartman,\N,\N,miscellaneous,tt4701488
nm7452649,Mike Myers,\N,\N,nan,tt4853866
nm7479270,Chris Farley,\N,\N,nan,\N
nm7491272,Victoria Jackson,\N,\N,actress,tt4906964
nm7567645,Sarah Sherman,\N,\N,"actress,writer,miscellaneous","tt15467926,tt8425308,tt9534540,tt14601874"
nm7576527,Lauren Holt,1991,\N,actress,"tt7546290,tt8937092,tt0072562,tt8394996"
nm7585524,Tim Robinson,\N,\N,nan,tt4661598
nm7641022,Molly Shannon,\N,\N,nan,tt3675186
nm7681772,Chris Elliott,\N,\N,actor,tt5124078
nm7683464,Chris Farley,\N,\N,sound_department,tt0142235
nm7705657,Brad Hall,\N,\N,"editor,camera_department","tt5173520,tt6738058"
nm7706610,Mike O'Brien,\N,\N,visual_effects,tt3906560
nm7726543,Rich Hall,\N,\N,nan,\N
nm7791059,Mark McKinney,\N,\N,camera_department,tt3739110
nm7815008,Phil Hartman,\N,\N,actor,tt5298646
nm7855877,Chris Rock,\N,\N,"director,writer,editor",tt5346900
nm7860904,Mike O'Brien,\N,\N,"editor,cinematographer","tt7119506,tt5352578"
nm7906225,Mike Myers,\N,\N,"camera_department,cinematographer","tt5442834,tt6137590"
nm7941065,Michael O'Donoghue,\N,\N,nan,\N
nm7966111,Mike Myers,\N,\N,nan,tt3109150
nm7992474,Mike O'Brien,\N,\N,actor,tt5542640
nm8052762,Jeff Richards,\N,\N,actor,tt3859146
nm8054746,Mark McKinney,\N,\N,camera_department,"tt6285944,tt0795461,tt1216491"
nm8067225,Tom Davis,\N,\N,actor,"tt5631298,tt5631362"
nm8093483,Leslie Jones,\N,\N,actress,tt0093204
nm8096206,Mark McKinney,\N,\N,miscellaneous,tt2954994
nm8155395,Dennis Miller,\N,\N,actor,tt2114006
nm8157375,Dennis Miller,\N,\N,actor,tt2114006
nm8175223,Mike O'Brien,\N,\N,sound_department,tt4977374
nm8191764,Will Ferrell,\N,\N,actor,tt5779664
nm8271258,Bill Murray,\N,\N,nan,tt5156614
nm8285155,Michael O'Donoghue,\N,\N,actor,tt5880050
nm8300566,Dean Edwards,\N,\N,actor,tt5896628
nm8326174,Sarah Sherman,\N,\N,camera_department,tt5924202
nm8329835,Sarah Sherman,\N,\N,actress,tt5924202
nm8378315,Victoria Jackson,\N,\N,"camera_department,make_up_department",tt5941780
nm8439510,Tom Davis,\N,\N,camera_department,"tt7689318,tt6063510,tt6074820"
nm8467312,Sarah Sherman,\N,\N,nan,\N
nm8489283,Tom Davis,\N,\N,nan,tt5993092
nm8505163,Tom Davis,\N,\N,"director,cinematographer,editor","tt7252334,tt6142826,tt10607616,tt5870978"
nm8517416,Mike O'Brien,\N,\N,composer,tt6157660
nm8523579,Dean Edwards,\N,\N,composer,tt6166222
nm8537351,Chris Elliott,\N,\N,actor,tt6185624
nm8595385,Dennis Miller,\N,\N,visual_effects,tt11993098
nm8605638,Dean Edwards,\N,\N,nan,\N
nm8608160,Andrew Dismukes,\N,\N,"writer,actor","tt13858722,tt6279022,tt0072562,tt14508698"
nm8645930,Chris Farley,\N,\N,actor,tt6329792
nm8734124,Siobhan Fallon,\N,\N,writer,tt6463510
nm8739883,Leslie Jones,\N,\N,actress,tt6464314
nm8766863,Jeff Richards,\N,\N,actor,tt6512646
nm8783853,Mike O'Brien,\N,\N,soundtrack,tt2998406
nm8815884,Chris Elliott,\N,\N,miscellaneous,tt6264596
nm8854251,Tim Robinson,\N,\N,miscellaneous,tt6391108
nm8912973,Seth Meyers,\N,\N,miscellaneous,"tt6528132,tt0496571"
nm8938826,Pete Davidson,\N,\N,actor,tt6806604
nm8978375,Alex Moffat,\N,\N,actor,tt6851750
nm9030399,Colin Quinn,\N,\N,art_department,tt3948764
nm9189163,Chris Elliott,\N,\N,make_up_department,tt7233816
nm9201551,Dean Edwards,\N,\N,editorial_department,"tt1565436,tt6186672,tt0354333"
nm9216626,Leslie Jones,\N,\N,actress,\N
nm9222500,Rich Hall,\N,\N,"cinematographer,producer","tt8364112,tt7286604"
nm9247139,Mike Myers,\N,\N,actor,"tt1302137,tt0460843"
nm9253219,Tom Davis,\N,\N,actor,tt7309462
nm9301955,Chris Parnell,\N,\N,nan,\N
nm9321275,Michael O'Donoghue,\N,\N,sound_department,"tt8526284,tt7465694,tt7615118"
nm9335986,Victoria Jackson,\N,\N,miscellaneous,tt0383760
nm9339453,Mike O'Brien,\N,\N,actor,tt7493170
nm9354190,Mike O'Brien,\N,\N,actor,tt7528072
nm9384729,Tracy Morgan,\N,\N,nan,\N
nm9390534,Tracy Morgan,\N,\N,editor,tt7587656
nm9395047,Colin Quinn,\N,\N,cinematographer,\N
nm9400036,Leslie Jones,\N,\N,actor,tt7604526
nm9401379,Joe Piscopo,\N,\N,nan,\N
nm9424876,Tom Davis,\N,\N,actor,tt7638698
nm9433183,Brad Hall,\N,\N,actor,tt0121946
nm9456219,Rob Schneider,\N,\N,actor,tt2642912
nm9502973,Mike Myers,\N,\N,camera_department,\N
nm9531701,Tim Robinson,\N,\N,nan,"tt0335620,tt0112193,tt0396362,tt9090184"
nm9546078,Mike O'Brien,\N,\N,animation_department,\N
nm9573578,Tracy Morgan,\N,\N,nan,"tt3644198,tt11833964"
nm9652008,Dennis Miller,\N,\N,"actor,assistant",tt3471592
nm9656009,Chris Elliott,\N,\N,"writer,producer",\N
nm9681546,Brad Hall,\N,\N,"director,producer",tt8106790
nm9737448,Julia Sweeney,\N,\N,miscellaneous,\N
nm9751499,Chris Rock,\N,\N,nan,\N
nm9772677,Rob Schneider,\N,\N,"cinematographer,editor,producer","tt8280446,tt11239422"
nm9790618,Punkie Johnson,\N,\N,"actress,writer,producer","tt5821764,tt5117666,tt7242698,tt7778796"
nm9825187,Sarah Sherman,\N,\N,art_director,tt8218988
nm9902053,Michael O'Donoghue,\N,\N,sound_department,tt1715425
nm9948379,Mike O'Brien,\N,\N,actor,tt8554874
nm9974827,Chris Parnell,\N,\N,nan,tt7396544
nm9978675,Jim Downey,\N,\N,director,\N
nm9982772,Chris Farley,\N,\N,nan,\N
nm9992272,Mary Gross,\N,\N,nan,tt0423652
