Performer,Time on SNL,No. of seasons,Repertory Player,Featured Player,Middle Group,"""Weekend Update"" Anchor",Hosted,Best of...,Writer
Jenny Slate,2009–2010,1,,,,,,,
Robert Smigel,1991–1993,2,,,,,,,
David Spade,1990–1996,6,,,,,,,
Pamela Stephenson,1984–1985,1,,,,,,,
Ben Stiller,1989,1,,,,,,,
Cecily Strong,2012–present,10,,,,,,,
Jason Sudeikis,2005–2013,9,,,,,,,
Julia Sweeney,1990–1994,4,,,,,,,
Terry Sweeney,1985–1986,1,,,,,,,
Kenan Thompson,2003–present,19,,,,,,,
Danitra Vance,1985–1986,1,,,,,,,
Melissa Villaseñor,2016–present,6,,,,,,,
Dan Vitale,1985–1986,1,,,,,,,
Nancy Walls,1995–1996,1,,,,,,,
Michaela Watkins,2008–2009,1,,,,,,,
Damon Wayans,1985–1986,1,,,,,,,
Patrick Weathers,1980–1981,1,,,,,,,
Noël Wells,2013–2014,1,,,,,,,
Brooks Wheelan,2013–2014,1,,,,,,,
Kristen Wiig,2005–2012,7,,,,,,,
Casey Wilson,2008–2009,2,,,,,,,
Fred Wolf,1996–1996,2,,,,,,,
Bowen Yang,2019–present,3,,,,,,,
Sasheer Zamata,2014–2017,4,,,,,,,
Alan Zweibel,1980,1,,,,,,,
